#Source City,Destination City
Lanzhou,Guiyang
Lanzhou,Tianjin
Lijiang City,Chongqing
Lijiang City,Chengdu
Lijiang City,Mian Yang
Luxi,Chengdu
Luxi,Kunming
Lhasa,Chongqing
Lhasa,Chengdu
Lhasa,Mildenhall
Lhasa,Xi An
Lhasa,Xining
Linyi,Xi An
Melbourne,Chengdu
Mian Yang,Lijiang City
Mian Yang,Nanking/nanjing
Mian Yang,Sanya
Mian Yang,Xining
Ningbo,Chongqing
Ningbo,Haikou
Ningbo,Harbin
Ningbo,Nanchang
Ningbo,Kunming
Ningbo,Shenyang
Ningbo,Sanya
Nanking/nanjing,Changchun
Nanking/nanjing,Chongqing
Nanking/nanjing,Chengdu
Nanking/nanjing,Dayong
Nanking/nanjing,Harbin
Nanking/nanjing,Kunming
Nanking/nanjing,Mian Yang
Nanking/nanjing,Sanya
Nanning,Chongqing
Nanning,Chengdu
Nanning,Ho Chi Minh City
Nanning,Wuhan
Nantong,Wuhan
Manzhouli,Harbin
Beijing,Chongqing
Beijing,Chengdu
Beijing,Wanxian
Shanghai,Chongqing
Shanghai,Chengdu
Shanghai,Saipan
Pan Zhi Hua,Chongqing
Pan Zhi Hua,Chengdu
Ho Chi Minh City,Nanning
Shenyang,Changsha
Shenyang,Chengdu
Shenyang,Dongsheng
Shenyang,Ningbo
Shenyang,Taiyuan
Shenyang,Xuzhou
Shenyang,Vancouver
Shijiazhuang,Chengdu
Shijiazhuang,Harbin
Shijiazhuang,Guilin
Saipan,Guangzhou
Saipan,Shanghai
Shantou,Chongqing
Sydney,Chongqing
Sanya,Chongqing
Sanya,Chengdu
Sanya,Guiyang
Sanya,Guilin
Sanya,Mian Yang
Sanya,Ningbo
Sanya,Nanking/nanjing
Sanya,Jinan
Sanya,Wenzhou
Sanya,Yibin
Shenzhen,Chongqing
Shenzhen,Chengdu
Shenzhen,Wanxian
Qingdao,Chengdu
Qingdao,Kunming
Jinan,Changchun
Jinan,Chongqing
Jinan,Chengdu
Jinan,Dalian
Jinan,Harbin
Jinan,Kunming
Jinan,Sanya
Jinan,Xi An
Taipei,Kunming
Taipei,Chongqing
Taipei,Chengdu
Tianjin,Changchun
Tianjin,Chongqing
Tianjin,Chengdu
Tianjin,Hangzhou
Tianjin,Harbin
Tianjin,Lanzhou
Taiyuan,Chongqing
Taiyuan,Chengdu
Taiyuan,Datong
Taiyuan,Hangzhou
Taiyuan,Shenyang
Urumqi,Zhengzhou
Urumqi,Chongqing
Urumqi,Chengdu
Urumqi,Kashi
Urumqi,Xi An
Yulin,Xi An
Wenzhou,Changsha
Wenzhou,Chengdu
Wenzhou,Harbin
Wenzhou,Guiyang
Wenzhou,Sanya
Wuhan,Chongqing
Wuhan,Chengdu
Wuhan,Harbin
Wuhan,Jinjiang
Wuhan,Nanning
Wuhan,Nantong
Wuxi,Chongqing
Wuxi,Chengdu
Wanxian,Chengdu
Wanxian,Kunming
Wanxian,Beijing
Wanxian,Shenzhen
Xichang,Chengdu
Xi An,Beihai
Xi An,Chongqing
Xi An,Chengdu
Xi An,Fuzhou
